Metric,Store,Month-Year,FY,Amount (in lakhs)
Marketing & advertisement,BAG,May 2021,FY22,
Gross Sales,DLF,May 2021,FY22,
GST,DLF,May 2021,FY22,0.0
Net Sales,DLF,May 2021,FY22,0.0
COGS (food +packaging),DLF,May 2021,FY22,0.0
store Labor Cost,DLF,May 2021,FY22,0.0
Utility Cost,DLF,May 2021,FY22,0.0
Rent,DLF,May 2021,FY22,
CAM,DLF,May 2021,FY22,0.0
Aggregator commission,DLF,May 2021,FY22,
Marketing & advertisement,DLF,May 2021,FY22,
Gross Sales,MAN,May 2021,FY22,
GST,MAN,May 2021,FY22,0.0
Net Sales,MAN,May 2021,FY22,0.0
COGS (food +packaging),MAN,May 2021,FY22,0.0
store Labor Cost,MAN,May 2021,FY22,0.11
Utility Cost,MAN,May 2021,FY22,0.05
Rent,MAN,May 2021,FY22,0.0
CAM,MAN,May 2021,FY22,
Aggregator commission,MAN,May 2021,FY22,0.02
Marketing & advertisement,MAN,May 2021,FY22,
Gross Sales,MTP,May 2021,FY22,
GST,MTP,May 2021,FY22,0.0
Net Sales,MTP,May 2021,FY22,0.0
COGS (food +packaging),MTP,May 2021,FY22,0.0
store Labor Cost,MTP,May 2021,FY22,0.0
Utility Cost,MTP,May 2021,FY22,0.0
Rent,MTP,May 2021,FY22,
CAM,MTP,May 2021,FY22,0.0
Aggregator commission,MTP,May 2021,FY22,0.0
Marketing & advertisement,MTP,May 2021,FY22,
Gross Sales,ETV,May 2021,FY22,
GST,ETV,May 2021,FY22,0.0
Net Sales,ETV,May 2021,FY22,0.0
COGS (food +packaging),ETV,May 2021,FY22,0.0
store Labor Cost,ETV,May 2021,FY22,0.0
Utility Cost,ETV,May 2021,FY22,0.04
Rent,ETV,May 2021,FY22,0.0
CAM,ETV,May 2021,FY22,0.0
Aggregator commission,ETV,May 2021,FY22,0.0
Marketing & advertisement,ETV,May 2021,FY22,
Gross Sales,VIR,May 2021,FY22,
GST,VIR,May 2021,FY22,0.0
Net Sales,VIR,May 2021,FY22,0.0
COGS (food +packaging),VIR,May 2021,FY22,0.0
store Labor Cost,VIR,May 2021,FY22,0.0
Utility Cost,VIR,May 2021,FY22,0.0
Rent,VIR,May 2021,FY22,
CAM,VIR,May 2021,FY22,
Aggregator commission,VIR,May 2021,FY22,0.0
Marketing & advertisement,VIR,May 2021,FY22,
Gross Sales,ARK,May 2021,FY22,16.2
GST,ARK,May 2021,FY22,0.77
Net Sales,ARK,May 2021,FY22,15.43
COGS (food +packaging),ARK,May 2021,FY22,5.73
store Labor Cost,ARK,May 2021,FY22,1.96
Utility Cost,ARK,May 2021,FY22,1.15
Rent,ARK,May 2021,FY22,1.36
CAM,ARK,May 2021,FY22,0.0
Aggregator commission,ARK,May 2021,FY22,3.3
Marketing & advertisement,ARK,May 2021,FY22,0.62
Gross Sales,SIG,May 2021,FY22,6.4
GST,SIG,May 2021,FY22,0.3
Net Sales,SIG,May 2021,FY22,6.1
COGS (food +packaging),SIG,May 2021,FY22,2.06
store Labor Cost,SIG,May 2021,FY22,1.64
Utility Cost,SIG,May 2021,FY22,0.65
Rent,SIG,May 2021,FY22,0.85
CAM,SIG,May 2021,FY22,0.09
Aggregator commission,SIG,May 2021,FY22,1.3
Marketing & advertisement,SIG,May 2021,FY22,0.26
Gross Sales,HSR,May 2021,FY22,18.18
GST,HSR,May 2021,FY22,0.87
Net Sales,HSR,May 2021,FY22,17.31
COGS (food +packaging),HSR,May 2021,FY22,6.46
store Labor Cost,HSR,May 2021,FY22,2.27
Utility Cost,HSR,May 2021,FY22,0.96
Rent,HSR,May 2021,FY22,1.37
CAM,HSR,May 2021,FY22,0.0
