Metric,Store,Month-Year,FY,Amount (in lakhs)
Interest cost,BNJ,March 2025,FY25,
Gross Sales,AMZ,March 2025,FY25,16.61
GST,AMZ,March 2025,FY25,0.79
Net Sales,AMZ,March 2025,FY25,15.82
COGS (food +packaging),AMZ,March 2025,FY25,7.93
store Labor Cost,AMZ,March 2025,FY25,4.28
Utility Cost,AMZ,March 2025,FY25,0.0
Rent,AMZ,March 2025,FY25,0.0
CAM,AMZ,March 2025,FY25,0.0
Aggregator commission,AMZ,March 2025,FY25,0.0
Marketing & advertisement,AMZ,March 2025,FY25,0.01
Interest cost,AMZ,March 2025,FY25,
Gross Sales,MFT,March 2025,FY25,10.09
GST,MFT,March 2025,FY25,0.48
Net Sales,MFT,March 2025,FY25,9.61
COGS (food +packaging),MFT,March 2025,FY25,4.52
store Labor Cost,MFT,March 2025,FY25,2.59
Utility Cost,MFT,March 2025,FY25,0.0
Rent,MFT,March 2025,FY25,0.0
CAM,MFT,March 2025,FY25,0.0
Aggregator commission,MFT,March 2025,FY25,0.0
Marketing & advertisement,MFT,March 2025,FY25,
Interest cost,MFT,March 2025,FY25,
Gross Sales,NEX,March 2025,FY25,8.89
GST,NEX,March 2025,FY25,0.15
Net Sales,NEX,March 2025,FY25,8.73
COGS (food +packaging),NEX,March 2025,FY25,4.61
store Labor Cost,NEX,March 2025,FY25,0.42
Utility Cost,NEX,March 2025,FY25,0.35
Rent,NEX,March 2025,FY25,0.57
CAM,NEX,March 2025,FY25,0.21
Aggregator commission,NEX,March 2025,FY25,1.15
Marketing & advertisement,NEX,March 2025,FY25,0.54
Interest cost,NEX,March 2025,FY25,
Gross Sales,DLP,March 2025,FY25,20.01
GST,DLP,March 2025,FY25,0.95
Net Sales,DLP,March 2025,FY25,19.06
COGS (food +packaging),DLP,March 2025,FY25,7.1
store Labor Cost,DLP,March 2025,FY25,2.96
Utility Cost,DLP,March 2025,FY25,0.65
Rent,DLP,March 2025,FY25,2.7
CAM,DLP,March 2025,FY25,1.01
Aggregator commission,DLP,March 2025,FY25,0.0
Marketing & advertisement,DLP,March 2025,FY25,0.04
Interest cost,DLP,March 2025,FY25,
Gross Sales,EXA,March 2025,FY25,21.37
GST,EXA,March 2025,FY25,1.01
Net Sales,EXA,March 2025,FY25,20.36
COGS (food +packaging),EXA,March 2025,FY25,7.95
store Labor Cost,EXA,March 2025,FY25,3.36
Utility Cost,EXA,March 2025,FY25,0.79
Rent,EXA,March 2025,FY25,3.85
CAM,EXA,March 2025,FY25,0.67
Aggregator commission,EXA,March 2025,FY25,0.0
Marketing & advertisement,EXA,March 2025,FY25,0.69
Interest cost,EXA,March 2025,FY25,
Gross Sales,VRA,March 2025,FY25,34.19
GST,VRA,March 2025,FY25,0.91
Net Sales,VRA,March 2025,FY25,33.28
COGS (food +packaging),VRA,March 2025,FY25,11.15
store Labor Cost,VRA,March 2025,FY25,4.89
Utility Cost,VRA,March 2025,FY25,1.58
Rent,VRA,March 2025,FY25,4.12
CAM,VRA,March 2025,FY25,1.09
Aggregator commission,VRA,March 2025,FY25,3.02
Marketing & advertisement,VRA,March 2025,FY25,1.05
Interest cost,VRA,March 2025,FY25,
Gross Sales,CPM,March 2025,FY25,27.83
GST,CPM,March 2025,FY25,1.16
Net Sales,CPM,March 2025,FY25,26.66
COGS (food +packaging),CPM,March 2025,FY25,9.68
store Labor Cost,CPM,March 2025,FY25,3.93
Utility Cost,CPM,March 2025,FY25,0.85
Rent,CPM,March 2025,FY25,4.09
CAM,CPM,March 2025,FY25,0.8
Aggregator commission,CPM,March 2025,FY25,0.66
Marketing & advertisement,CPM,March 2025,FY25,0.47
Interest cost,CPM,March 2025,FY25,
Gross Sales,KTP,March 2025,FY25,57.12
GST,KTP,March 2025,FY25,1.48
Net Sales,KTP,March 2025,FY25,55.65
COGS (food +packaging),KTP,March 2025,FY25,20.37
store Labor Cost,KTP,March 2025,FY25,5.12
Utility Cost,KTP,March 2025,FY25,2.75
Rent,KTP,March 2025,FY25,4.92
CAM,KTP,March 2025,FY25,0.56
Aggregator commission,KTP,March 2025,FY25,5.23
Marketing & advertisement,KTP,March 2025,FY25,1.53
Interest cost,KTP,March 2025,FY25,
Gross Sales,CAR,March 2025,FY25,22.5
GST,CAR,March 2025,FY25,0.77
Net Sales,CAR,March 2025,FY25,21.73
COGS (food +packaging),CAR,March 2025,FY25,8.01
store Labor Cost,CAR,March 2025,FY25,3.96
Utility Cost,CAR,March 2025,FY25,0.65
Rent,CAR,March 2025,FY25,2.49
CAM,CAR,March 2025,FY25,0.72
Aggregator commission,CAR,March 2025,FY25,1.25
Marketing & advertisement,CAR,March 2025,FY25,0.72
Interest cost,CAR,March 2025,FY25,
Gross Sales,VEL,March 2025,FY25,46.7
GST,VEL,March 2025,FY25,0.9
Net Sales,VEL,March 2025,FY25,45.81
COGS (food +packaging),VEL,March 2025,FY25,16.11
store Labor Cost,VEL,March 2025,FY25,4.66
Utility Cost,VEL,March 2025,FY25,1.67
Rent,VEL,March 2025,FY25,2.11
CAM,VEL,March 2025,FY25,0.0
Aggregator commission,VEL,March 2025,FY25,5.61
Marketing & advertisement,VEL,March 2025,FY25,1.33
Interest cost,VEL,March 2025,FY25,
Gross Sales,NUN,March 2025,FY25,51.1
GST,NUN,March 2025,FY25,0.77
Net Sales,NUN,March 2025,FY25,50.33
COGS (food +packaging),NUN,March 2025,FY25,19.25
store Labor Cost,NUN,March 2025,FY25,4.69
Utility Cost,NUN,March 2025,FY25,2.0
Rent,NUN,March 2025,FY25,3.83
CAM,NUN,March 2025,FY25,0.0
Aggregator commission,NUN,March 2025,FY25,6.95
Marketing & advertisement,NUN,March 2025,FY25,1.77
Interest cost,NUN,March 2025,FY25,
Gross Sales,PER,March 2025,FY25,23.51
GST,PER,March 2025,FY25,0.47
Net Sales,PER,March 2025,FY25,23.05
COGS (food +packaging),PER,March 2025,FY25,8.9
store Labor Cost,PER,March 2025,FY25,4.78
Utility Cost,PER,March 2025,FY25,1.26
Rent,PER,March 2025,FY25,2.3
CAM,PER,March 2025,FY25,0.0
Aggregator commission,PER,March 2025,FY25,2.75
Marketing & advertisement,PER,March 2025,FY25,2.06
Interest cost,PER,March 2025,FY25,
Gross Sales,OPP,March 2025,FY25,32.74
GST,OPP,March 2025,FY25,0.5
Net Sales,OPP,March 2025,FY25,32.24
COGS (food +packaging),OPP,March 2025,FY25,12.07
store Labor Cost,OPP,March 2025,FY25,3.18
Utility Cost,OPP,March 2025,FY25,1.38
Rent,OPP,March 2025,FY25,1.97
CAM,OPP,March 2025,FY25,0.35
Aggregator commission,OPP,March 2025,FY25,4.42
Marketing & advertisement,OPP,March 2025,FY25,1.64
Interest cost,OPP,March 2025,FY25,
Gross Sales,DLT,March 2025,FY25,13.98
GST,DLT,March 2025,FY25,0.26
Net Sales,DLT,March 2025,FY25,13.71
COGS (food +packaging),DLT,March 2025,FY25,4.99
store Labor Cost,DLT,March 2025,FY25,2.7
Utility Cost,DLT,March 2025,FY25,1.25
Rent,DLT,March 2025,FY25,1.78
CAM,DLT,March 2025,FY25,0.83
Aggregator commission,DLT,March 2025,FY25,1.7
Marketing & advertisement,DLT,March 2025,FY25,0.99
Interest cost,DLT,March 2025,FY25,
Gross Sales,MMM,March 2025,FY25,29.62
GST,MMM,March 2025,FY25,0.88
Net Sales,MMM,March 2025,FY25,28.73
COGS (food +packaging),MMM,March 2025,FY25,10.53
store Labor Cost,MMM,March 2025,FY25,3.3
Utility Cost,MMM,March 2025,FY25,1.6
Rent,MMM,March 2025,FY25,3.21
CAM,MMM,March 2025,FY25,0.65
Aggregator commission,MMM,March 2025,FY25,2.2
Marketing & advertisement,MMM,March 2025,FY25,1.43
Interest cost,MMM,March 2025,FY25,
Gross Sales,EGL,April 2025,FY26,20.28
GST,EGL,April 2025,FY26,0.85
Net Sales,EGL,April 2025,FY26,19.43
COGS (food +packaging),EGL,April 2025,FY26,6.59
store Labor Cost,EGL,April 2025,FY26,2.8
Utility Cost,EGL,April 2025,FY26,0.84
Rent,EGL,April 2025,FY26,3.0
CAM,EGL,April 2025,FY26,0.0
Aggregator commission,EGL,April 2025,FY26,0.0
Marketing & advertisement,EGL,April 2025,FY26,0.06
Interest cost,EGL,April 2025,FY26,
Gross Sales,ITPL,April 2025,FY26,58.38
GST,ITPL,April 2025,FY26,1.39
Net Sales,ITPL,April 2025,FY26,56.99
COGS (food +packaging),ITPL,April 2025,FY26,22.9
store Labor Cost,ITPL,April 2025,FY26,8.09
Utility Cost,ITPL,April 2025,FY26,1.57
Rent,ITPL,April 2025,FY26,6.07
CAM,ITPL,April 2025,FY26,0.0
Aggregator commission,ITPL,April 2025,FY26,6.21
Marketing & advertisement,ITPL,April 2025,FY26,1.15
Interest cost,ITPL,April 2025,FY26,
Gross Sales,RMZ,April 2025,FY26,19.82
GST,RMZ,April 2025,FY26,0.68
Net Sales,RMZ,April 2025,FY26,19.14
COGS (food +packaging),RMZ,April 2025,FY26,6.59
store Labor Cost,RMZ,April 2025,FY26,3.54
Utility Cost,RMZ,April 2025,FY26,0.77
Rent,RMZ,April 2025,FY26,2.41
CAM,RMZ,April 2025,FY26,0.19
Aggregator commission,RMZ,April 2025,FY26,1.08
Marketing & advertisement,RMZ,April 2025,FY26,0.21
Interest cost,RMZ,April 2025,FY26,
Gross Sales,KOR,April 2025,FY26,59.85
GST,KOR,April 2025,FY26,0.85
Net Sales,KOR,April 2025,FY26,59.0
COGS (food +packaging),KOR,April 2025,FY26,21.44
store Labor Cost,KOR,April 2025,FY26,6.27
Utility Cost,KOR,April 2025,FY26,2.21
Rent,KOR,April 2025,FY26,2.65
CAM,KOR,April 2025,FY26,0.0
Aggregator commission,KOR,April 2025,FY26,8.28
Marketing & advertisement,KOR,April 2025,FY26,1.0
Interest cost,KOR,April 2025,FY26,
Gross Sales,INB,April 2025,FY26,0.0
GST,INB,April 2025,FY26,0.0
Net Sales,INB,April 2025,FY26,0.0
COGS (food +packaging),INB,April 2025,FY26,0.0
store Labor Cost,INB,April 2025,FY26,0.0
Utility Cost,INB,April 2025,FY26,0.0
Rent,INB,April 2025,FY26,0.0
CAM,INB,April 2025,FY26,0.0
Aggregator commission,INB,April 2025,FY26,0.0
Marketing & advertisement,INB,April 2025,FY26,0.0
Interest cost,INB,April 2025,FY26,
Gross Sales,DIV,April 2025,FY26,18.63
GST,DIV,April 2025,FY26,0.56
Net Sales,DIV,April 2025,FY26,18.07
COGS (food +packaging),DIV,April 2025,FY26,6.24
store Labor Cost,DIV,April 2025,FY26,4.08
Utility Cost,DIV,April 2025,FY26,1.23
Rent,DIV,April 2025,FY26,2.12
CAM,DIV,April 2025,FY26,0.21
Aggregator commission,DIV,April 2025,FY26,1.38
Marketing & advertisement,DIV,April 2025,FY26,0.27
Interest cost,DIV,April 2025,FY26,
Gross Sales,IND,April 2025,FY26,90.17
GST,IND,April 2025,FY26,1.12
Net Sales,IND,April 2025,FY26,89.05
COGS (food +packaging),IND,April 2025,FY26,32.44
store Labor Cost,IND,April 2025,FY26,8.1
Utility Cost,IND,April 2025,FY26,2.74
Rent,IND,April 2025,FY26,2.93
CAM,IND,April 2025,FY26,0.0
Aggregator commission,IND,April 2025,FY26,13.32
Marketing & advertisement,IND,April 2025,FY26,1.82
Interest cost,IND,April 2025,FY26,
Gross Sales,BAG,April 2025,FY26,20.67
GST,BAG,April 2025,FY26,0.8
Net Sales,BAG,April 2025,FY26,19.87
COGS (food +packaging),BAG,April 2025,FY26,7.32
store Labor Cost,BAG,April 2025,FY26,3.82
Utility Cost,BAG,April 2025,FY26,0.8
Rent,BAG,April 2025,FY26,2.34
CAM,BAG,April 2025,FY26,0.41
Aggregator commission,BAG,April 2025,FY26,0.79
Marketing & advertisement,BAG,April 2025,FY26,0.09
Interest cost,BAG,April 2025,FY26,
Gross Sales,DLF,April 2025,FY26,0.0
GST,DLF,April 2025,FY26,0.0
Net Sales,DLF,April 2025,FY26,0.0
COGS (food +packaging),DLF,April 2025,FY26,0.0
store Labor Cost,DLF,April 2025,FY26,0.0
Utility Cost,DLF,April 2025,FY26,0.0
Rent,DLF,April 2025,FY26,0.0
CAM,DLF,April 2025,FY26,0.0
Aggregator commission,DLF,April 2025,FY26,0.0
Marketing & advertisement,DLF,April 2025,FY26,0.0
Interest cost,DLF,April 2025,FY26,
Gross Sales,MAN,April 2025,FY26,26.61
GST,MAN,April 2025,FY26,0.85
Net Sales,MAN,April 2025,FY26,25.76
COGS (food +packaging),MAN,April 2025,FY26,9.26
store Labor Cost,MAN,April 2025,FY26,3.05
Utility Cost,MAN,April 2025,FY26,0.89
Rent,MAN,April 2025,FY26,3.04
CAM,MAN,April 2025,FY26,0.0
Aggregator commission,MAN,April 2025,FY26,1.69
Marketing & advertisement,MAN,April 2025,FY26,1.12
Interest cost,MAN,April 2025,FY26,
Gross Sales,MTP,April 2025,FY26,11.09
GST,MTP,April 2025,FY26,0.53
Net Sales,MTP,April 2025,FY26,10.56
COGS (food +packaging),MTP,April 2025,FY26,4.2
store Labor Cost,MTP,April 2025,FY26,2.21
Utility Cost,MTP,April 2025,FY26,1.12
Rent,MTP,April 2025,FY26,1.99
CAM,MTP,April 2025,FY26,0.0
Aggregator commission,MTP,April 2025,FY26,0.0
Marketing & advertisement,MTP,April 2025,FY26,0.09
Interest cost,MTP,April 2025,FY26,
Gross Sales,ETV,April 2025,FY26,0.0
GST,ETV,April 2025,FY26,0.0
Net Sales,ETV,April 2025,FY26,0.0
COGS (food +packaging),ETV,April 2025,FY26,0.0
store Labor Cost,ETV,April 2025,FY26,0.0
Utility Cost,ETV,April 2025,FY26,0.0
Rent,ETV,April 2025,FY26,0.0
CAM,ETV,April 2025,FY26,0.0
Aggregator commission,ETV,April 2025,FY26,0.0
Marketing & advertisement,ETV,April 2025,FY26,0.0
Interest cost,ETV,April 2025,FY26,
Gross Sales,VIR,April 2025,FY26,44.77
GST,VIR,April 2025,FY26,0.54
Net Sales,VIR,April 2025,FY26,44.23
COGS (food +packaging),VIR,April 2025,FY26,15.08
store Labor Cost,VIR,April 2025,FY26,4.64
Utility Cost,VIR,April 2025,FY26,1.25
Rent,VIR,April 2025,FY26,2.99
CAM,VIR,April 2025,FY26,0.31
Aggregator commission,VIR,April 2025,FY26,5.86
Marketing & advertisement,VIR,April 2025,FY26,0.37
Interest cost,VIR,April 2025,FY26,
Gross Sales,ARK,April 2025,FY26,60.01
GST,ARK,April 2025,FY26,0.81
Net Sales,ARK,April 2025,FY26,59.2
COGS (food +packaging),ARK,April 2025,FY26,19.72
store Labor Cost,ARK,April 2025,FY26,5.48
Utility Cost,ARK,April 2025,FY26,1.75
Rent,ARK,April 2025,FY26,1.51
CAM,ARK,April 2025,FY26,0.0
Aggregator commission,ARK,April 2025,FY26,8.32
Marketing & advertisement,ARK,April 2025,FY26,0.53
Interest cost,ARK,April 2025,FY26,
Gross Sales,SIG,April 2025,FY26,0.0
GST,SIG,April 2025,FY26,0.0
Net Sales,SIG,April 2025,FY26,0.0
COGS (food +packaging),SIG,April 2025,FY26,0.0
store Labor Cost,SIG,April 2025,FY26,0.0
Utility Cost,SIG,April 2025,FY26,0.0
Rent,SIG,April 2025,FY26,0.0
CAM,SIG,April 2025,FY26,0.0
Aggregator commission,SIG,April 2025,FY26,0.0
Marketing & advertisement,SIG,April 2025,FY26,0.0
Interest cost,SIG,April 2025,FY26,
Gross Sales,HSR,April 2025,FY26,88.58
GST,HSR,April 2025,FY26,1.12
Net Sales,HSR,April 2025,FY26,87.46
COGS (food +packaging),HSR,April 2025,FY26,28.66
store Labor Cost,HSR,April 2025,FY26,6.43
Utility Cost,HSR,April 2025,FY26,2.61
Rent,HSR,April 2025,FY26,2.2
CAM,HSR,April 2025,FY26,0.0
Aggregator commission,HSR,April 2025,FY26,12.56
Marketing & advertisement,HSR,April 2025,FY26,1.23
Interest cost,HSR,April 2025,FY26,
Gross Sales,CVR,April 2025,FY26,12.15
GST,CVR,April 2025,FY26,0.58
Net Sales,CVR,April 2025,FY26,11.57
COGS (food +packaging),CVR,April 2025,FY26,3.93
store Labor Cost,CVR,April 2025,FY26,2.38
Utility Cost,CVR,April 2025,FY26,0.84
Rent,CVR,April 2025,FY26,1.37
CAM,CVR,April 2025,FY26,0.31
Aggregator commission,CVR,April 2025,FY26,0.0
Marketing & advertisement,CVR,April 2025,FY26,0.02
Interest cost,CVR,April 2025,FY26,
Gross Sales,SJP,April 2025,FY26,53.33
GST,SJP,April 2025,FY26,0.55
Net Sales,SJP,April 2025,FY26,52.78
COGS (food +packaging),SJP,April 2025,FY26,19.43
store Labor Cost,SJP,April 2025,FY26,8.28
Utility Cost,SJP,April 2025,FY26,2.06
Rent,SJP,April 2025,FY26,2.99
CAM,SJP,April 2025,FY26,0.0
Aggregator commission,SJP,April 2025,FY26,8.17
Marketing & advertisement,SJP,April 2025,FY26,1.54
Interest cost,SJP,April 2025,FY26,
Gross Sales,ORW,April 2025,FY26,22.9
GST,ORW,April 2025,FY26,1.09
Net Sales,ORW,April 2025,FY26,21.81
COGS (food +packaging),ORW,April 2025,FY26,8.68
store Labor Cost,ORW,April 2025,FY26,3.39
Utility Cost,ORW,April 2025,FY26,1.09
Rent,ORW,April 2025,FY26,3.53
CAM,ORW,April 2025,FY26,1.08
Aggregator commission,ORW,April 2025,FY26,0.0
Marketing & advertisement,ORW,April 2025,FY26,0.24
Interest cost,ORW,April 2025,FY26,
Gross Sales,EST,April 2025,FY26,36.25
GST,EST,April 2025,FY26,0.4
Net Sales,EST,April 2025,FY26,35.85
COGS (food +packaging),EST,April 2025,FY26,12.4
store Labor Cost,EST,April 2025,FY26,4.33
Utility Cost,EST,April 2025,FY26,1.9
Rent,EST,April 2025,FY26,1.78
CAM,EST,April 2025,FY26,0.4
Aggregator commission,EST,April 2025,FY26,5.51
Marketing & advertisement,EST,April 2025,FY26,0.98
Interest cost,EST,April 2025,FY26,
Gross Sales,ORE,April 2025,FY26,0.0
GST,ORE,April 2025,FY26,0.0
Net Sales,ORE,April 2025,FY26,0.0
COGS (food +packaging),ORE,April 2025,FY26,0.0
store Labor Cost,ORE,April 2025,FY26,0.0
Utility Cost,ORE,April 2025,FY26,0.0
Rent,ORE,April 2025,FY26,0.0
CAM,ORE,April 2025,FY26,0.0
Aggregator commission,ORE,April 2025,FY26,0.0
Marketing & advertisement,ORE,April 2025,FY26,0.0
Interest cost,ORE,April 2025,FY26,
Gross Sales,AUR,April 2025,FY26,0.0
GST,AUR,April 2025,FY26,
Net Sales,AUR,April 2025,FY26,0.0
COGS (food +packaging),AUR,April 2025,FY26,0.0
store Labor Cost,AUR,April 2025,FY26,0.0
Utility Cost,AUR,April 2025,FY26,0.0
Rent,AUR,April 2025,FY26,0.0
CAM,AUR,April 2025,FY26,0.0
Aggregator commission,AUR,April 2025,FY26,0.0
Marketing & advertisement,AUR,April 2025,FY26,0.0
Interest cost,AUR,April 2025,FY26,
Gross Sales,JPN,April 2025,FY26,45.35
GST,JPN,April 2025,FY26,0.9
Net Sales,JPN,April 2025,FY26,44.45
COGS (food +packaging),JPN,April 2025,FY26,16.12
store Labor Cost,JPN,April 2025,FY26,5.78
Utility Cost,JPN,April 2025,FY26,2.48
Rent,JPN,April 2025,FY26,4.84
CAM,JPN,April 2025,FY26,0.0
Aggregator commission,JPN,April 2025,FY26,4.93
Marketing & advertisement,JPN,April 2025,FY26,1.14
Interest cost,JPN,April 2025,FY26,
Gross Sales,JPC,April 2025,FY26,0.0
GST,JPC,April 2025,FY26,0.0
Net Sales,JPC,April 2025,FY26,0.0
COGS (food +packaging),JPC,April 2025,FY26,0.0
store Labor Cost,JPC,April 2025,FY26,0.0
Utility Cost,JPC,April 2025,FY26,0.0
Rent,JPC,April 2025,FY26,0.0
CAM,JPC,April 2025,FY26,0.0
Aggregator commission,JPC,April 2025,FY26,0.0
Marketing & advertisement,JPC,April 2025,FY26,0.0
Interest cost,JPC,April 2025,FY26,
Gross Sales,PTP,April 2025,FY26,34.47
GST,PTP,April 2025,FY26,0.54
Net Sales,PTP,April 2025,FY26,33.92
COGS (food +packaging),PTP,April 2025,FY26,12.14
store Labor Cost,PTP,April 2025,FY26,4.76
Utility Cost,PTP,April 2025,FY26,1.6
Rent,PTP,April 2025,FY26,1.54
CAM,PTP,April 2025,FY26,0.18
Aggregator commission,PTP,April 2025,FY26,4.78
Marketing & advertisement,PTP,April 2025,FY26,1.7
Interest cost,PTP,April 2025,FY26,
Gross Sales,SEC,April 2025,FY26,0.0
GST,SEC,April 2025,FY26,0.0
Net Sales,SEC,April 2025,FY26,0.0
COGS (food +packaging),SEC,April 2025,FY26,0.0
store Labor Cost,SEC,April 2025,FY26,0.0
Utility Cost,SEC,April 2025,FY26,0.0
Rent,SEC,April 2025,FY26,0.0
CAM,SEC,April 2025,FY26,0.0
Aggregator commission,SEC,April 2025,FY26,0.0
Marketing & advertisement,SEC,April 2025,FY26,0.0
Interest cost,SEC,April 2025,FY26,
Gross Sales,SYH,April 2025,FY26,55.56
GST,SYH,April 2025,FY26,0.77
Net Sales,SYH,April 2025,FY26,54.78
COGS (food +packaging),SYH,April 2025,FY26,20.39
store Labor Cost,SYH,April 2025,FY26,7.72
Utility Cost,SYH,April 2025,FY26,2.28
Rent,SYH,April 2025,FY26,2.06
CAM,SYH,April 2025,FY26,0.0
Aggregator commission,SYH,April 2025,FY26,7.81
Marketing & advertisement,SYH,April 2025,FY26,1.39
Interest cost,SYH,April 2025,FY26,
Gross Sales,ETF,April 2025,FY26,27.37
GST,ETF,April 2025,FY26,1.3
Net Sales,ETF,April 2025,FY26,26.07
COGS (food +packaging),ETF,April 2025,FY26,10.16
store Labor Cost,ETF,April 2025,FY26,2.95
Utility Cost,ETF,April 2025,FY26,0.66
Rent,ETF,April 2025,FY26,5.61
CAM,ETF,April 2025,FY26,0.0
Aggregator commission,ETF,April 2025,FY26,0.0
Marketing & advertisement,ETF,April 2025,FY26,0.02
Interest cost,ETF,April 2025,FY26,
Gross Sales,GSC,April 2025,FY26,24.45
GST,GSC,April 2025,FY26,1.16
Net Sales,GSC,April 2025,FY26,23.28
COGS (food +packaging),GSC,April 2025,FY26,9.08
store Labor Cost,GSC,April 2025,FY26,2.78
Utility Cost,GSC,April 2025,FY26,0.0
Rent,GSC,April 2025,FY26,0.0
CAM,GSC,April 2025,FY26,0.0
Aggregator commission,GSC,April 2025,FY26,0.0
Marketing & advertisement,GSC,April 2025,FY26,0.02
Interest cost,GSC,April 2025,FY26,
Gross Sales,PRI,April 2025,FY26,0.0
GST,PRI,April 2025,FY26,0.0
Net Sales,PRI,April 2025,FY26,0.0
COGS (food +packaging),PRI,April 2025,FY26,0.0
store Labor Cost,PRI,April 2025,FY26,0.0
Utility Cost,PRI,April 2025,FY26,0.0
Rent,PRI,April 2025,FY26,0.0
CAM,PRI,April 2025,FY26,0.0
Aggregator commission,PRI,April 2025,FY26,0.0
Marketing & advertisement,PRI,April 2025,FY26,0.0
Interest cost,PRI,April 2025,FY26,
Gross Sales,ECN,April 2025,FY26,26.59
GST,ECN,April 2025,FY26,0.85
Net Sales,ECN,April 2025,FY26,25.74
COGS (food +packaging),ECN,April 2025,FY26,9.11
store Labor Cost,ECN,April 2025,FY26,3.22
Utility Cost,ECN,April 2025,FY26,1.02
Rent,ECN,April 2025,FY26,3.23
CAM,ECN,April 2025,FY26,0.46
Aggregator commission,ECN,April 2025,FY26,1.6
Marketing & advertisement,ECN,April 2025,FY26,0.09
Interest cost,ECN,April 2025,FY26,
Gross Sales,RGA,April 2025,FY26,25.26
GST,RGA,April 2025,FY26,0.26
Net Sales,RGA,April 2025,FY26,25.0
COGS (food +packaging),RGA,April 2025,FY26,8.27
store Labor Cost,RGA,April 2025,FY26,3.63
Utility Cost,RGA,April 2025,FY26,1.18
Rent,RGA,April 2025,FY26,1.91
CAM,RGA,April 2025,FY26,0.0
Aggregator commission,RGA,April 2025,FY26,3.84
Marketing & advertisement,RGA,April 2025,FY26,0.8
Interest cost,RGA,April 2025,FY26,
Gross Sales,KNP,April 2025,FY26,35.85
GST,KNP,April 2025,FY26,0.54
Net Sales,KNP,April 2025,FY26,35.31
COGS (food +packaging),KNP,April 2025,FY26,12.74
store Labor Cost,KNP,April 2025,FY26,4.87
Utility Cost,KNP,April 2025,FY26,1.7
Rent,KNP,April 2025,FY26,1.73
CAM,KNP,April 2025,FY26,0.0
Aggregator commission,KNP,April 2025,FY26,5.04
Marketing & advertisement,KNP,April 2025,FY26,1.82
Interest cost,KNP,April 2025,FY26,
Gross Sales,KCK,April 2025,FY26,47.12
GST,KCK,April 2025,FY26,0.0
Net Sales,KCK,April 2025,FY26,47.12
COGS (food +packaging),KCK,April 2025,FY26,15.82
store Labor Cost,KCK,April 2025,FY26,5.62
Utility Cost,KCK,April 2025,FY26,1.87
Rent,KCK,April 2025,FY26,0.58
CAM,KCK,April 2025,FY26,0.0
Aggregator commission,KCK,April 2025,FY26,9.59
Marketing & advertisement,KCK,April 2025,FY26,2.07
Interest cost,KCK,April 2025,FY26,
Gross Sales,BVG,April 2025,FY26,42.83
GST,BVG,April 2025,FY26,0.79
Net Sales,BVG,April 2025,FY26,42.04
COGS (food +packaging),BVG,April 2025,FY26,14.57
store Labor Cost,BVG,April 2025,FY26,4.44
Utility Cost,BVG,April 2025,FY26,1.47
Rent,BVG,April 2025,FY26,1.48
CAM,BVG,April 2025,FY26,0.12
Aggregator commission,BVG,April 2025,FY26,5.01
Marketing & advertisement,BVG,April 2025,FY26,0.82
Interest cost,BVG,April 2025,FY26,
Gross Sales,CLA,April 2025,FY26,30.76
GST,CLA,April 2025,FY26,0.03
Net Sales,CLA,April 2025,FY26,30.73
COGS (food +packaging),CLA,April 2025,FY26,11.37
store Labor Cost,CLA,April 2025,FY26,4.35
Utility Cost,CLA,April 2025,FY26,1.44
Rent,CLA,April 2025,FY26,0.36
CAM,CLA,April 2025,FY26,0.0
Aggregator commission,CLA,April 2025,FY26,6.11
Marketing & advertisement,CLA,April 2025,FY26,1.77
Interest cost,CLA,April 2025,FY26,
Gross Sales,IBC,April 2025,FY26,14.98
GST,IBC,April 2025,FY26,0.42
Net Sales,IBC,April 2025,FY26,14.55
COGS (food +packaging),IBC,April 2025,FY26,5.2
store Labor Cost,IBC,April 2025,FY26,2.12
Utility Cost,IBC,April 2025,FY26,1.35
Rent,IBC,April 2025,FY26,0.79
CAM,IBC,April 2025,FY26,0.0
Aggregator commission,IBC,April 2025,FY26,1.12
Marketing & advertisement,IBC,April 2025,FY26,0.57
Interest cost,IBC,April 2025,FY26,
Gross Sales,BTG,April 2025,FY26,32.78
GST,BTG,April 2025,FY26,0.62
Net Sales,BTG,April 2025,FY26,32.16
COGS (food +packaging),BTG,April 2025,FY26,11.21
store Labor Cost,BTG,April 2025,FY26,4.53
Utility Cost,BTG,April 2025,FY26,0.45
Rent,BTG,April 2025,FY26,3.07
CAM,BTG,April 2025,FY26,0.31
Aggregator commission,BTG,April 2025,FY26,3.83
Marketing & advertisement,BTG,April 2025,FY26,0.37
Interest cost,BTG,April 2025,FY26,
Gross Sales,ECT,April 2025,FY26,37.96
GST,ECT,April 2025,FY26,0.7
Net Sales,ECT,April 2025,FY26,37.26
COGS (food +packaging),ECT,April 2025,FY26,14.27
store Labor Cost,ECT,April 2025,FY26,5.27
Utility Cost,ECT,April 2025,FY26,2.04
Rent,ECT,April 2025,FY26,2.1
CAM,ECT,April 2025,FY26,0.0
Aggregator commission,ECT,April 2025,FY26,4.58
Marketing & advertisement,ECT,April 2025,FY26,1.94
Interest cost,ECT,April 2025,FY26,
Gross Sales,RRR,April 2025,FY26,32.38
GST,RRR,April 2025,FY26,0.65
Net Sales,RRR,April 2025,FY26,31.73
